company,office_name,address,business_focus,size,type,established
Alphabet Inc.,GooglePlex HQ,"1600 Amphitheatre Parkway, Mountain View, CA 94043, USA","Global Headquarters, Executive Management, Core Product R&D",20000+,headquarters,1998
Alphabet Inc.,New York Office,"111 8th Avenue, New York, NY 10011, USA","Major Regional Corporate Hub, Financial Market Operations",12000+,regional,2000
Alphabet Inc.,London Central,"6 Pancras Square, London N1C 4AG, UK","EMEA Regional Headquarters, Sales, Strategic Partnerships",5000+,regional,2003
Alphabet Inc.,Dublin European HQ,"Gordon House, Barrow Street, Dublin 4, Ireland","EU Operations, Tax Hub, Corporate Governance",8000+,regional,2003
Alphabet Inc.,Singapore HQ,"Mapletree Business City II, Singapore","APAC Regional Headquarters",2000+,headquarters,2016
Microsoft,Redmond Campus,"One Microsoft Way, Redmond, WA 98052, USA","Corporate Headquarters, Windows, Azure, Executive Leadership",50000+,headquarters,1986
Microsoft,Silicon Valley Campus,"1065 La Avenida, Mountain View, CA 94043, USA","LinkedIn HQ, AI Research, Cloud Infrastructure",10000+,engineering,2016
Microsoft,London Office,"2 Kingdom Street, Paddington, London W2 6BD, UK","UK Operations, Enterprise Sales, Azure UK, Gaming",5000+,regional,1982
Microsoft,Hyderabad Campus,"Microsoft Campus, Gachibowli, Hyderabad, India","India Development Center, Azure Engineering, Office 365, Bing",10000+,engineering,1998
Microsoft,Dublin EMEA HQ,"One Microsoft Place, Leopardstown, Dublin 18, Ireland","EMEA Operations, Cloud, Enterprise Sales, Dynamics 365",3000+,regional,1985
Broadcom Inc.,Broadcom Corporate Headquarters,"3421 Hillview Avenue, Palo Alto, CA 94304, USA","Principal executive offices, software engineering, enterprise administration",561,000 sq ft,headquarters,2023
Broadcom Inc.,Fort Collins Engineering Node,"4380 Ziegler Road, Fort Collins, CO 80525, USA","Engineering, design, internal manufacturing oversight",,engineering,
Broadcom Inc.,Global Distribution Hub,"Batu Kawan, Malaysia","Global supply chain management, final product engineering, physical distribution",Primary global node,logistics,2018
Broadcom Inc.,Israel R&D Center,"17 George Weiss Street, Tel Aviv, Israel","Advanced networking and security solutions development",,engineering,
Amazon.com,Global Headquarters (Day 1),"410 Terry Avenue North, Seattle, WA 98109, USA","Core global leadership, enterprise operations, innovation laboratories",,headquarters,2012
Amazon.com,HQ2 (National Landing),"1770 Crystal Drive, Arlington, VA 22202, USA","Secondary corporate HQ, AWS government contracting hub",,headquarters,
Amazon.com,Luxembourg EMEA HQ,"38 Avenue John F. Kennedy, L-1855, Luxembourg","European, Middle Eastern, and African operations and central European logistics coordination",,regional,
Amazon.com,Hyderabad Campus,"Financial District, Nanakramguda, Hyderabad, India","Major APAC engineering, operational, and customer support nerve center","15,000 employees, 9.5 acres",engineering,
Amazon.com,Project Kuiper Manufacturing,"Kirkland, WA, USA","LEO Satellite Manufacturing",172,000 sq ft,manufacturing,
